timestamp,pid,rol,rss_mb,cpu_percent
2026-08-12T12:24:43,28320,padre,4.6,0.0
2026-08-12T12:24:43,18880,worker,34.7,0.0
2026-08-12T12:24:43,32672,worker,95.9,0.0
2026-08-12T12:24:43,17792,worker,96.1,0.0
2026-08-12T12:24:43,22824,worker,96.4,0.0
2026-08-12T12:24:43,6420,worker,96.3,0.0
2026-08-12T12:24:58,28320,padre,4.6,0.0
2026-08-12T12:24:58,18880,worker,34.7,0.0
2026-08-12T12:24:58,32672,worker,95.9,0.0
2026-08-12T12:24:58,17792,worker,96.1,0.0
2026-08-12T12:24:58,22824,worker,96.4,0.0
2026-08-12T12:24:58,6420,worker,96.2,0.0
2026-08-12T12:25:13,28320,padre,4.6,0.0
2026-08-12T12:25:13,18880,worker,34.7,0.0
2026-08-12T12:25:13,32672,worker,95.9,0.0
2026-08-12T12:25:13,17792,worker,96.1,0.0
2026-08-12T12:25:13,22824,worker,96.4,0.0
2026-08-12T12:25:13,6420,worker,96.2,0.0
2026-08-12T12:25:28,28320,padre,4.6,0.0
2026-08-12T12:25:28,18880,worker,34.7,0.0
2026-08-12T12:25:28,32672,worker,95.9,0.0
2026-08-12T12:25:28,17792,worker,96.1,0.0
2026-08-12T12:25:28,22824,worker,96.4,0.0
2026-08-12T12:25:28,6420,worker,96.2,0.0
2026-08-12T12:25:43,28320,padre,4.6,0.0
2026-08-12T12:25:43,18880,worker,34.7,0.0
2026-08-12T12:25:43,32672,worker,95.9,0.0
2026-08-12T12:25:43,17792,worker,96.1,0.0
2026-08-12T12:25:43,22824,worker,96.4,0.0
2026-08-12T12:25:43,6420,worker,96.2,0.0
2026-08-12T12:25:58,28320,padre,4.6,0.0
2026-08-12T12:25:58,18880,worker,34.7,0.0
2026-08-12T12:25:58,32672,worker,95.9,0.0
2026-08-12T12:25:58,17792,worker,96.1,0.0
2026-08-12T12:25:58,22824,worker,96.3,0.0
2026-08-12T12:25:58,6420,worker,96.2,0.0
2026-08-12T12:26:13,28320,padre,4.6,0.0
2026-08-12T12:26:13,18880,worker,34.7,0.0
2026-08-12T12:26:13,32672,worker,95.9,0.0
2026-08-12T12:26:13,17792,worker,96.0,0.0
2026-08-12T12:26:13,22824,worker,96.3,0.0
2026-08-12T12:26:13,6420,worker,96.2,0.0
2026-08-12T12:26:28,28320,padre,4.6,0.0
2026-08-12T12:26:28,18880,worker,34.7,0.0
2026-08-12T12:26:28,32672,worker,95.9,0.0
2026-08-12T12:26:28,17792,worker,96.0,0.0
2026-08-12T12:26:28,22824,worker,96.3,0.0
2026-08-12T12:26:28,6420,worker,96.2,0.0
2026-08-12T12:26:43,28320,padre,4.6,0.0
2026-08-12T12:26:43,18880,worker,34.7,0.0
2026-08-12T12:26:43,32672,worker,95.9,0.0
2026-08-12T12:26:43,17792,worker,96.0,0.0
2026-08-12T12:26:43,22824,worker,96.3,0.0
2026-08-12T12:26:43,6420,worker,96.2,0.0
2026-08-12T12:26:58,28320,padre,4.6,0.0
2026-08-12T12:26:58,18880,worker,34.7,0.0
2026-08-12T12:26:58,32672,worker,95.9,0.0
2026-08-12T12:26:58,17792,worker,96.0,0.0
2026-08-12T12:26:58,22824,worker,96.3,0.0
2026-08-12T12:26:58,6420,worker,96.2,0.0
2026-08-12T12:27:13,28320,padre,4.6,0.0
2026-08-12T12:27:13,18880,worker,34.7,0.0
2026-08-12T12:27:13,32672,worker,95.8,0.0
2026-08-12T12:27:13,17792,worker,96.0,0.0
2026-08-12T12:27:13,22824,worker,96.3,0.0
2026-08-12T12:27:13,6420,worker,96.2,0.0
2026-08-12T12:27:28,28320,padre,4.6,0.0
2026-08-12T12:27:28,18880,worker,34.7,0.0
2026-08-12T12:27:28,32672,worker,95.8,0.0
2026-08-12T12:27:28,17792,worker,96.0,0.0
2026-08-12T12:27:28,22824,worker,96.3,0.0
2026-08-12T12:27:28,6420,worker,96.2,0.0
2026-08-12T12:27:43,28320,padre,4.6,0.0
2026-08-12T12:27:43,18880,worker,34.7,0.0
2026-08-12T12:27:43,32672,worker,95.8,0.0
2026-08-12T12:27:43,17792,worker,96.0,0.0
2026-08-12T12:27:43,22824,worker,96.3,0.0
2026-08-12T12:27:43,6420,worker,96.2,0.0
2026-08-12T12:27:58,28320,padre,4.6,0.0
2026-08-12T12:27:58,18880,worker,34.7,0.0
2026-08-12T12:27:58,32672,worker,95.8,0.0
2026-08-12T12:27:58,17792,worker,96.0,0.0
2026-08-12T12:27:58,22824,worker,96.3,0.0
2026-08-12T12:27:58,6420,worker,96.2,0.0
2026-08-12T12:28:13,28320,padre,4.6,0.0
2026-08-12T12:28:13,18880,worker,34.7,0.0
2026-08-12T12:28:13,32672,worker,95.8,0.0
2026-08-12T12:28:13,17792,worker,96.0,0.0
2026-08-12T12:28:13,22824,worker,96.3,0.0
2026-08-12T12:28:13,6420,worker,96.2,0.0
2026-08-12T12:28:28,28320,padre,4.6,0.0
2026-08-12T12:28:28,18880,worker,34.7,0.0
2026-08-12T12:28:28,32672,worker,95.8,0.0
2026-08-12T12:28:28,17792,worker,96.0,0.0
2026-08-12T12:28:28,22824,worker,96.3,0.0
2026-08-12T12:28:28,6420,worker,96.2,0.0
2026-08-12T12:28:43,28320,padre,4.6,0.0
2026-08-12T12:28:43,18880,worker,34.7,0.0
2026-08-12T12:28:43,32672,worker,95.8,0.0
2026-08-12T12:28:43,17792,worker,96.0,0.0
2026-08-12T12:28:43,22824,worker,96.3,0.0
2026-08-12T12:28:43,6420,worker,96.2,0.0
2026-08-12T12:28:58,28320,padre,4.7,0.0
2026-08-12T12:28:58,18880,worker,34.8,0.0
2026-08-12T12:28:58,32672,worker,96.0,0.0
2026-08-12T12:28:58,17792,worker,96.2,0.0
2026-08-12T12:28:58,22824,worker,96.4,0.0
2026-08-12T12:28:58,6420,worker,96.3,0.0
2026-08-12T12:29:13,28320,padre,4.7,0.0
2026-08-12T12:29:13,18880,worker,34.8,0.0
2026-08-12T12:29:13,32672,worker,103.3,0.0
2026-08-12T12:29:13,17792,worker,165.7,0.0
2026-08-12T12:29:13,22824,worker,165.9,0.0
2026-08-12T12:29:13,6420,worker,166.0,0.0
2026-08-12T12:29:28,28320,padre,4.7,0.0
